"team","two_pp","thr_pp","mis_p","oreb_p","sf_p","ft_p","tov_p","avg_poss","total"
"Nevada Wolf Pack",0.291522827646709,0.102180949874494,0.437583710296219,0.273091939650308,0.183890321418631,0.708936412241247,0.152827580461213,65.8197216755892,116.800538969727
"New College (FL) Mighty Banyans",0.234588458247854,0.109474613848999,0.656847683093992,0.238095238095238,0.0312784610997139,0.75,0.140753074948713,63.9417647058823,117.294229123927
"New Hampshire Wildcats",0.235497457990507,0.1227957687963,0.506240202492276,0.235950801571517,0.126033585502586,0.756741051285471,0.166330117085509,72.1862552959733,115.689713186718
"New Mexico Lobos",0.323886340958244,0.0921921804995845,0.505085990313947,0.334486478155249,0.150035711178173,0.71614492406382,0.1404756529917,70.9371415879575,121.167587594165
"New Mexico State Aggies",0.26119885491547,0.0951244688215424,0.487433458990981,0.256681644775753,0.141316823639384,0.675351628456258,0.175268457733552,67.7394019338372,116.034206410093
"New Orleans Privateers",0.278706063309671,0.0764107326993491,0.496120823242954,0.289530176611042,0.161815118144035,0.715637125276086,0.171664731780064,72.015792055088,118.471746917607
"Niagara Purple Eagles",0.290072425706126,0.0933060854704588,0.431596151192669,0.239628134264328,0.14712667490922,0.747796510300191,0.176145999406154,67.0647018149828,113.824733668463
"Nicholls Colonels",0.239908662042609,0.122784992625336,0.456987862368902,0.276178579685726,0.156071309566287,0.723425612204224,0.190657022526155,68.7498598149066,116.640984912929
"Norfolk State Spartans",0.290991333459665,0.0950352545068559,0.457457500612855,0.325383290869142,0.167537975949816,0.717445565354566,0.180009849883169,67.0958541451835,119.103191441236
"North Alabama Lions",0.280906250455152,0.111568480121048,0.492719337217777,0.272062077926663,0.144881728024229,0.764228132798042,0.145883581599751,68.4149980857895,117.595937741796
"North American Stallions",0.164431346682349,0.131142209659081,0.439545911496184,0.180911680911681,0.0864475663969486,0.700554805817964,0.290973559067977,80.1947707847708,111.254059330254
"North Carolina A&T Aggies",0.251210337719232,0.0894386669985291,0.53930232453295,0.24182021014847,0.147819552511269,0.708000795400663,0.140630595647357,66.7005442967686,116.840147740934
"North Carolina Central Eagles",0.276194863517725,0.109755634969996,0.470542057824248,0.316260509595866,0.168537361704515,0.687404900251628,0.176323589742618,68.2516508401976,120.13535077591
"North Carolina Tar Heels",0.287660672394552,0.116723758919388,0.494974809245236,0.327307971513476,0.162179417836781,0.752287201166332,0.144236144399195,69.8859170457203,120.577480279515
"North Central (MN) Rams",0.249494054638338,0.0554431232529641,0.526709670903159,0.186046511627907,0.0970254656926871,0.428571428571429,0.194050931385374,72.146007751938,112.272324587252
"North Dakota Fighting Hawks",0.276720401455649,0.123862987678299,0.505047961532605,0.308875599617272,0.139244954786039,0.719335456837179,0.150502061532407,66.8800727071224,119.5378366985
